18 33 24
27 23 20
34 27 41
41 27 12
22 25 13
32 37 31
21 26 15
37 42 29
38 2 7
35 9 38
40 25 33
26 38 7
9 2 38
10 33 18
5 13 25
31 35 26
17 35 22
10 40 33
13 17 22
37 30 42
33 25 29
1 5 40
1 40 10
5 25 40
24 34 14
18 24 14
33 29 42
12 27 20
6 41 4
6 14 34
4 41 12
19 21 15
6 34 41
24 33 42
34 42 30
34 24 42
23 30 32
27 34 30
16 23 36
27 30 23
28 32 21
36 23 32
20 23 16
16 36 8
39 36 28
39 28 11
36 32 28
8 39 3
8 36 39
3 39 11
19 28 21
11 28 19
22 31 29
32 30 37
32 31 21
37 29 31
31 22 35
29 25 22
9 35 17
31 26 21
35 38 26
15 26 7
